timestamp,price_psm
2007-05,2583.5224188671873
2007-06,2593.2431947062937
2007-07,2611.30061992517
2007-08,2688.8065928145697
2007-09,2764.9279245347225
2007-10,2824.934765092857
2007-11,2879.8454945810813
2007-12,2935.1142098679243
2008-01,3019.3082499745765
2008-02,3035.9783476324787
2008-03,3104.508563417391
2008-04,3166.394748975
2008-05,3176.8244176328126
2008-06,3285.2702280256412
2008-07,3283.778411531746
2008-08,3279.5895083211676
2008-09,3315.052350942446
2008-10,3431.763562911565
2008-11,3446.184047908451
2008-12,3452.2101080583334
2009-01,3512.1036643451325
2009-02,3445.8781912293575
2009-03,3459.9839697600005
2009-04,3440.5628316030534
2009-05,3421.6673373437498
2009-06,3499.1167736343286
2009-07,3532.768386366864
2009-08,3530.298297186567
2009-09,3538.713695412088
2009-10,3595.516894071795
